ticker,ann_return,ann_vol,sharpe,max_dd,alpha,beta,info_ratio,pct_positive,skewness
LYV,0.19107753306513064,0.2769294844844611,0.6991161643203232,-0.3052905104605999,0.09767154127580491,1.2268904474553946,0.46996069337973373,0.5254237288135594,0.34057252835469015
MA,0.33906217570241615,0.1873459594226555,1.5628959705479444,-0.1180883466770085,0.2429119399969457,0.8996166218470452,1.35818668739067,0.6779661016949152,0.16291394330610753
MAA,0.11816602852298863,0.17735461760344484,0.6114847468128023,-0.18947465245082523,0.077971278653999,0.4063000731865068,0.14586294876217512,0.6610169491525424,-0.8212083339733987
MAR,0.14217371364661524,0.21044418085199096,0.6436230205755978,-0.30091130312135633,0.02923988075152706,1.307082601049367,0.361238714308598,0.5254237288135594,0.4197422536164516
MAS,0.21879486652401492,0.32550669581841374,0.70939076664745,-0.49727809121673255,0.07120576221202324,1.9856607415656085,0.5840058285355706,0.559322033898305,0.47934932496527644
MCD,0.13754443721503362,0.12508876411811468,0.9387482904812167,-0.1150474325306283,0.07766500717935676,0.5198899011877023,0.29192583004022465,0.6271186440677966,0.4196935871303378
MCHP,0.0876459956106681,0.19669268706826495,0.4248387572650911,-0.2271027666127129,-0.004983772700673517,1.0859441495385038,0.013364714962113307,0.559322033898305,0.273068186777248
MCK,0.2257272233400205,0.1893744738602841,1.0705280300038755,-0.24447354013457595,0.14332494018667474,0.8343400461385029,0.7410852386120514,0.559322033898305,0.6877213387791604
MCO,0.30289675552517115,0.2381710795882117,1.1573847386454315,-0.23360608868308122,0.18235523412660215,1.3117551577815578,1.0439385016153433,0.6101694915254238,-0.1201724202795611
MDLZ,0.20171483269603652,0.163617384971112,1.0908286099181796,-0.0974351707684865,0.115231944426061,0.8451218543261713,0.7358314164270052,0.6101694915254238,0.15165040514596168
MDT,0.17828692070735386,0.16834317346519923,0.9460680142396627,-0.19870319756255683,0.07584076786842342,1.053824127798132,0.6757715844320462,0.576271186440678,0.2216112270299766
MET,0.03568033854426855,0.2771478944296783,0.1943620407419718,-0.4085727264279127,-0.09969580430322433,1.9427705625978087,-0.14306971039778393,0.5254237288135594,0.009053591652831948
META,0.4225472507370245,0.4449605136830743,0.969142812586133,-0.4192926271191993,0.39218858283819547,0.8725821559588945,0.7361477785146837,0.6511627906976745,0.708886371803318
MGM,0.09064007290619469,0.37075401057804147,0.3644185082279658,-0.3851753804542376,-0.017056310336026836,1.8675934770597304,0.169257472666882,0.5084745762711864,0.2257600978751028
MKC,0.168769236603731,0.1355604559008154,1.0787210869742638,-0.11181467866168537,0.10533556732935745,0.5599549975331007,0.49992494002536625,0.6440677966101694,-0.022133029081711792
MLM,0.12341558393243557,0.2785255900483439,0.48270590752255743,-0.29939170952582206,0.023015436106020637,1.3693548542328566,0.22794492311622583,0.5254237288135594,0.759420803055741
MMM,0.14433701374493402,0.16229430332211345,0.7949982061463841,-0.2521345651353083,0.03431845681327084,1.167804078198802,0.5270108843300866,0.6440677966101694,-0.5211200409408195
MNST,0.4016490231217442,0.32884940312418376,1.1359498071673026,-0.3849862111308763,0.3985957841012977,0.40901146236193714,0.8779441380556577,0.6271186440677966,0.7002347618754755
MO,0.26520273604919575,0.16191232602153863,1.4252531644557458,-0.11299648646753173,0.20230841388982634,0.5530526805841464,0.9481441722234822,0.6610169491525424,-0.42165086401022495
MOS,-0.18353652937601217,0.30407888891775725,-0.5618635672292528,-0.6518925675728987,-0.25788914158899,1.5172408568727502,-0.9922627190423077,0.4745762711864407,-0.8365906294040538
MPC,0.25399045943485365,0.36840707089972025,0.7498550563223816,-0.37872942767314705,0.09521853383859114,2.18126054402435,0.6481073791628801,0.6111111111111112,-0.051205354237762325
MPWR,0.3675969526367431,0.31069735240297375,1.107486906692863,-0.41156056930362644,0.2210514816485354,1.7499836775150934,1.0508454997815027,0.6101694915254238,0.20795479771912687
MRK,0.14183463067957347,0.15912286320515215,0.7919928650171962,-0.17565887246117576,0.07607168535908682,0.643570545191006,0.30401047306640927,0.576271186440678,0.174157210891047
MRSH,0.17783222061879966,0.14438472925486803,1.0752257817599902,-0.14274430987249428,0.07534525069357234,1.0102380412908456,0.885770874529602,0.6779661016949152,0.16171576066968918
MS,0.02735825696537919,0.34655550142573865,0.19439463438761154,-0.5440910368382674,-0.11232633832778427,2.2799740250504037,-0.05302352224876162,0.576271186440678,0.12883863873283247
MSCI,0.16769825620200263,0.22002462847498372,0.7342956296399845,-0.286735682531177,0.0868552233171731,0.956293981402029,0.42195408477122404,0.5932203389830508,-1.1967540137283994
MSFT,0.18421269327150092,0.21808516157073868,0.7952262352221081,-0.15704200445087754,0.09986128712089148,0.9548159675364266,0.49006521565623634,0.6101694915254238,0.6100376154057743
MSI,0.14337372077017196,0.17495879208992446,0.7434865935675212,-0.14664416957211926,0.09444368808987003,0.4842859447993937,0.275458626400932,0.6271186440677966,0.010170550298797282
MTB,0.10182064328758211,0.15656791717884364,0.5742325390922834,-0.20110137262813157,0.026325320536116692,0.7834959809292946,0.06452171265267453,0.6271186440677966,-0.5314239327577704
MTD,0.18177337815539607,0.22488249760084839,0.7710827475253412,-0.25314828563346714,0.0813586601083085,1.1640736723824403,0.5099106796579715,0.6101694915254238,-0.010672354307623732
MU,0.0618891153354979,0.42490441340537094,0.3131786892230038,-0.6061196168500673,-0.03191517441001013,2.0289934055196843,0.138283290129869,0.5254237288135594,-0.2268450309917588
NDAQ,0.2066429599290709,0.20280632896940518,0.9354359050740121,-0.23523257036393153,0.12139887459281651,0.9146219329365205,0.626411920534469,0.6440677966101694,0.10177348597094088
NDSN,0.08075011968559198,0.25829895687025334,0.3506667068103106,-0.30560045965194776,-0.0306920559965862,1.4924649311573133,0.04534637014432044,0.5423728813559322,0.5002069200419829
NEE,0.1851774385712881,0.14534891604405709,1.1132504536395205,-0.0891148230168449,0.13792944426173603,0.3911905169211755,0.5170492522311064,0.6779661016949152,-0.3749962601314669
NEM,-0.18770344249390203,0.36684707225895336,-0.4320266067122883,-0.7462691368718453,-0.16535886838987457,0.2564245776260946,-0.6387393971257534,0.4406779661016949,0.40999067716541693
NFLX,0.30772473218696517,0.7250901042716152,0.6825809383715087,-0.7989660767746113,0.43935799898473715,1.5346873557052438,0.5860685410613615,0.6101694915254238,1.0290322506808403
NI,0.2611614570082923,0.12695729661639965,1.751943746058143,-0.08609094332152083,0.22418620181171045,0.22601453661750048,0.9170954399953414,0.7457627118644068,-0.20614032273401098
NKE,0.2698284922641141,0.2097401647558676,1.1623805606320763,-0.21272921961646285,0.21075089931474333,0.6256976844584722,0.8056176688189096,0.6610169491525424,-0.7691154255102941
NOC,0.286692271149656,0.17030803918392684,1.4636726477371245,-0.2405263101291999,0.19527199826193753,0.853094093867678,1.205172673608277,0.711864406779661,-0.25531048246421817
NOW,0.43254800138032046,0.3457086621328945,1.1707151745191458,-0.28335055519229807,0.3349159399916961,1.1067725298821183,0.9238807821316765,0.6428571428571429,-0.3637356028051914
NRG,-0.09565161960594881,0.26906276386323286,-0.3056563769357326,-0.6711173315852677,-0.1339751736022433,0.7448545274140749,-0.6389440802144013,0.4745762711864407,-0.5076171266059608
NSC,0.09709261789105317,0.2356528590950647,0.42524750187007737,-0.29890452940164264,0.0038508528273915044,1.1817004229321209,0.09711094503067524,0.4915254237288136,0.5533221918002162
NTAP,-0.1291289386377732,0.30262391788324705,-0.36439977484993574,-0.508672807713396,-0.21634623404226117,1.607032698868995,-0.774333151909909,0.5084745762711864,-0.13572101278259616
NTRS,0.09395639407425493,0.17856191932612342,0.4836558586075318,-0.30846545271727505,-0.0033601133534856276,1.100290677000398,0.03865875331846289,0.6271186440677966,-0.32475911228170556
NUE,0.007723411228924393,0.21727975416686962,0.0519714391790594,-0.32153027965257036,-0.0999093638562163,1.4235806107837807,-0.4736102671244071,0.5084745762711864,0.26631515668486344
NVDA,0.08097126955569567,0.28546007623165964,0.34874049449132744,-0.47131506795862466,0.001995984986777888,1.1963003222405673,0.07201769927220526,0.576271186440678,-0.24814943540375942
